Table Name,Column Name
city,city_code
city,city_name
city,state_code
city,country_name
city,time_zone_code
days,days_code
days,day_name
fare,one_direction_cost
fare,round_trip_cost
fare,fare_id
fare,fare_basis_code
fare,fare_airline
fare,restriction_code
fare,round_trip_required
fare,from_airport
fare,to_airport
month,month_number
month,month_name
state,state_code
state,state_name
state,country_name
flight,flight_id
flight,departure_time
flight,arrival_time
flight,flight_number
flight,stops
flight,connections
flight,time_elapsed
flight,airline_code
flight,dual_carrier
flight,flight_days
flight,from_airport
flight,to_airport
flight,aircraft_code_sequence
flight,meal_code
flight,airline_flight
airline,airline_code
airline,airline_name
airline,note
airport,minimum_connect_time
airport,airport_name
airport,airport_location
airport,airport_code
airport,country_name
airport,time_zone_code
airport,state_code
aircraft,length
aircraft,weight
aircraft,capacity
aircraft,pay_load
aircraft,cruising_speed
aircraft,range_miles
aircraft,engines
aircraft,wing_span
aircraft,pressurized
aircraft,aircraft_description
aircraft,manufacturer
aircraft,basic_type
aircraft,propulsion
aircraft,wide_body
aircraft,aircraft_code
time_zone,hours_from_gmt
time_zone,time_zone_code
time_zone,time_zone_name
fare_basis,fare_basis_code
fare_basis,booking_class
fare_basis,class_type
fare_basis,premium
fare_basis,economy
fare_basis,discounted
fare_basis,night
fare_basis,season
fare_basis,basis_days
flight_leg,flight_id
flight_leg,leg_number
flight_leg,leg_flight
flight_fare,flight_id
flight_fare,fare_id
flight_stop,flight_id
flight_stop,stop_number
flight_stop,arrival_flight_number
flight_stop,departure_time
flight_stop,departure_flight_number
flight_stop,stop_time
flight_stop,arrival_time
flight_stop,stop_days
flight_stop,stop_airport
flight_stop,departure_airline
flight_stop,arrival_airline
restriction,maximum_stay
restriction,advance_purchase
restriction,minimum_stay
restriction,application
restriction,restriction_code
restriction,no_discounts
restriction,stopovers
restriction,saturday_stay_required
dual_carrier,low_flight_number
dual_carrier,high_flight_number
dual_carrier,main_airline
dual_carrier,dual_airline
dual_carrier,service_name
food_service,meal_number
food_service,meal_code
food_service,compartment
food_service,meal_description
time_interval,begin_time
time_interval,end_time
time_interval,period
ground_service,ground_fare
ground_service,city_code
ground_service,airport_code
ground_service,transport_type
airport_service,miles_distant
airport_service,minutes_distant
airport_service,city_code
airport_service,airport_code
airport_service,direction
class_of_service,rank
class_of_service,booking_class
class_of_service,class_description
code_description,code
code_description,description
compartment_class,compartment
compartment_class,class_type
equipment_sequence,aircraft_code_sequence
equipment_sequence,aircraft_code
