Table Name,Column Name
consumer_div.users,uid
consumer_div.users,username
consumer_div.users,email
consumer_div.users,phone_number
consumer_div.users,created_at
consumer_div.users,last_login_at
consumer_div.users,user_type
consumer_div.users,status
consumer_div.users,country
consumer_div.users,address_billing
consumer_div.users,address_delivery
consumer_div.users,kyc_status
consumer_div.users,kyc_verified_at
consumer_div.merchants,mid
consumer_div.merchants,name
consumer_div.merchants,description
consumer_div.merchants,website_url
consumer_div.merchants,logo_url
consumer_div.merchants,created_at
consumer_div.merchants,country
consumer_div.merchants,state
consumer_div.merchants,city
consumer_div.merchants,postal_code
consumer_div.merchants,address
consumer_div.merchants,status
consumer_div.merchants,category
consumer_div.merchants,sub_category
consumer_div.merchants,mcc
consumer_div.merchants,contact_name
consumer_div.merchants,contact_email
consumer_div.merchants,contact_phone
consumer_div.coupons,cid
consumer_div.coupons,merchant_id
consumer_div.coupons,code
consumer_div.coupons,description
consumer_div.coupons,start_date
consumer_div.coupons,end_date
consumer_div.coupons,discount_type
consumer_div.coupons,discount_value
consumer_div.coupons,min_purchase_amount
consumer_div.coupons,max_discount_amount
consumer_div.coupons,redemption_limit
consumer_div.coupons,status
consumer_div.coupons,created_at
consumer_div.coupons,updated_at
consumer_div.wallet_transactions_daily,txid
consumer_div.wallet_transactions_daily,sender_id
consumer_div.wallet_transactions_daily,sender_type
consumer_div.wallet_transactions_daily,receiver_id
consumer_div.wallet_transactions_daily,receiver_type
consumer_div.wallet_transactions_daily,amount
consumer_div.wallet_transactions_daily,status
consumer_div.wallet_transactions_daily,type
consumer_div.wallet_transactions_daily,description
consumer_div.wallet_transactions_daily,coupon_id
consumer_div.wallet_transactions_daily,created_at
consumer_div.wallet_transactions_daily,completed_at
consumer_div.wallet_transactions_daily,transaction_ref
consumer_div.wallet_transactions_daily,gateway_name
consumer_div.wallet_transactions_daily,gateway_ref
consumer_div.wallet_transactions_daily,device_id
consumer_div.wallet_transactions_daily,ip_address
consumer_div.wallet_transactions_daily,user_agent
consumer_div.wallet_user_balance_daily,user_id
consumer_div.wallet_user_balance_daily,balance
consumer_div.wallet_user_balance_daily,updated_at
consumer_div.wallet_merchant_balance_daily,merchant_id
consumer_div.wallet_merchant_balance_daily,balance
consumer_div.wallet_merchant_balance_daily,updated_at
consumer_div.notifications,id
consumer_div.notifications,user_id
consumer_div.notifications,message
consumer_div.notifications,type
consumer_div.notifications,status
consumer_div.notifications,created_at
consumer_div.notifications,read_at
consumer_div.notifications,device_type
consumer_div.notifications,device_id
consumer_div.notifications,action_url
consumer_div.user_sessions,user_id
consumer_div.user_sessions,session_start_ts
consumer_div.user_sessions,session_end_ts
consumer_div.user_sessions,device_type
consumer_div.user_sessions,device_id
consumer_div.user_setting_snapshot,user_id
consumer_div.user_setting_snapshot,snapshot_date
consumer_div.user_setting_snapshot,tx_limit_daily
consumer_div.user_setting_snapshot,tx_limit_monthly
consumer_div.user_setting_snapshot,membership_status
consumer_div.user_setting_snapshot,password_hash
consumer_div.user_setting_snapshot,api_key
consumer_div.user_setting_snapshot,verified_devices
consumer_div.user_setting_snapshot,verified_ips
consumer_div.user_setting_snapshot,mfa_enabled
consumer_div.user_setting_snapshot,marketing_opt_in
consumer_div.user_setting_snapshot,created_at
