Table Name,Column Name
cite,citingpaperid
cite,citedpaperid
field,fieldid
paper,year
paper,journalid
paper,venueid
paper,paperid
paper,numciting
paper,numcitedby
paper,title
venue,venueid
venue,venuename
author,authorid
author,authorname
writes,paperid
writes,authorid
dataset,datasetid
dataset,datasetname
journal,journalid
journal,journalname
keyphrase,keyphraseid
keyphrase,keyphrasename
paperfield,fieldid
paperfield,paperid
paperdataset,paperid
paperdataset,datasetid
paperkeyphrase,paperid
paperkeyphrase,keyphraseid
