Table Name,Column Name
tip,year
tip,tip_id
tip,month
tip,user_id
tip,business_id
tip,text
users,uid
users,user_id
users,name
review,rating
review,rid
review,year
review,month
review,text
review,business_id
review,user_id
checkin,cid
checkin,count
checkin,business_id
checkin,day
business,review_count
business,is_open
business,bid
business,city
business,latitude
business,longitude
business,state
business,business_id
business,name
business,full_address
category,id
category,business_id
category,category_name
neighbourhood,id
neighbourhood,business_id
neighbourhood,neighbourhood_name
